date,equity,drawdown_pct,open_positions,open_forming,open_confirmed
2023-12-26,100000.0,0.0,0,0,0
2023-12-27,100000.0,0.0,0,0,0
2023-12-28,100000.0,0.0,0,0,0
2023-12-29,100000.0,0.0,0,0,0
2024-01-02,100000.0,0.0,0,0,0
2024-01-03,100000.0,0.0,0,0,0
2024-01-04,100000.0,0.0,0,0,0
2024-01-05,100000.0,0.0,0,0,0
2024-01-08,100000.0,0.0,0,0,0
2024-01-09,100000.0,0.0,0,0,0
2024-01-10,100000.0,0.0,0,0,0
2024-01-11,100000.0,0.0,0,0,0
2024-01-12,100000.0,0.0,0,0,0
2024-01-16,100000.0,0.0,0,0,0
2024-01-17,100000.0,0.0,0,0,0
2024-01-18,100000.0,0.0,0,0,0
2024-01-19,100000.0,0.0,0,0,0
2024-01-22,100000.0,0.0,0,0,0
2024-01-23,100000.0,0.0,0,0,0
2024-01-24,100000.0,0.0,0,0,0
2024-01-25,100000.0,0.0,0,0,0
2024-01-26,100000.0,0.0,0,0,0
2024-01-29,100000.0,0.0,0,0,0
2024-01-30,100000.0,0.0,0,0,0
2024-01-31,100000.0,0.0,0,0,0
2024-02-01,100000.0,0.0,0,0,0
2024-02-02,100000.0,0.0,0,0,0
2024-02-05,100000.0,0.0,0,0,0
2024-02-06,100000.0,0.0,0,0,0
2024-02-07,100000.0,0.0,0,0,0
2024-02-08,100000.0,0.0,0,0,0
2024-02-09,100000.0,0.0,0,0,0
2024-02-12,100000.0,0.0,0,0,0
2024-02-13,100000.0,0.0,0,0,0
2024-02-14,100000.0,0.0,0,0,0
2024-02-15,100000.0,0.0,0,0,0
2024-02-16,100000.0,0.0,0,0,0
2024-02-20,100000.0,0.0,0,0,0
2024-02-21,100000.0,0.0,0,0,0
2024-02-22,100000.0,0.0,0,0,0
2024-02-23,100000.0,0.0,0,0,0
2024-02-26,100000.0,0.0,0,0,0
2024-02-27,100000.0,0.0,0,0,0
2024-02-28,99938.45,-0.06,2,1,1
2024-02-29,100034.43,0.0,2,1,1
2024-03-01,100442.33,0.0,2,1,1
2024-03-04,100544.72,0.0,2,1,1
2024-03-05,100366.85,-0.18,2,1,1
2024-03-06,100552.63,0.0,2,1,1
2024-03-07,100925.14,0.0,2,1,1
2024-03-08,100919.88,-0.01,1,1,0
2024-03-11,100929.23,0.0,1,1,0
2024-03-12,100962.55,0.0,1,1,0
2024-03-13,100897.44,-0.06,1,1,0
2024-03-14,100883.84,-0.08,1,1,0
2024-03-15,100862.59,-0.1,1,1,0
2024-03-18,100857.83,-0.1,1,1,0
2024-03-19,100809.89,-0.15,1,1,0
2024-03-20,100870.58,-0.09,1,1,0
2024-03-21,100976.92,0.0,2,2,0
2024-03-22,100873.75,-0.1,2,2,0
2024-03-25,100911.07,-0.07,2,2,0
2024-03-26,100947.64,-0.03,2,2,0
2024-03-27,100976.06,-0.0,2,2,0
2024-03-28,101006.67,0.0,2,2,0
2024-04-01,100918.45,-0.09,2,2,0
2024-04-02,100900.15,-0.11,3,3,0
2024-04-03,101000.66,-0.01,3,3,0
2024-04-04,100793.9,-0.21,3,3,0
2024-04-05,100901.68,-0.1,3,3,0
2024-04-08,101060.4,0.0,3,3,0
2024-04-09,101170.36,0.0,3,3,0
2024-04-10,101007.63,-0.16,3,3,0
2024-04-11,101137.07,-0.03,3,3,0
2024-04-12,100960.01,-0.21,3,3,0
2024-04-15,100809.55,-0.36,3,3,0
2024-04-16,100774.11,-0.39,3,3,0
2024-04-17,100710.8,-0.45,3,3,0
2024-04-18,100595.54,-0.57,3,3,0
2024-04-19,100484.64,-0.68,2,2,0
2024-04-22,100569.6,-0.59,2,2,0
2024-04-23,100627.11,-0.54,2,2,0
2024-04-24,100682.4,-0.48,2,2,0
2024-04-25,100617.32,-0.55,2,2,0
2024-04-26,101009.13,-0.16,1,1,0
2024-04-29,101069.31,-0.1,1,1,0
2024-04-30,100927.79,-0.24,2,1,1
2024-05-01,100849.41,-0.32,2,1,1
2024-05-02,101121.64,-0.05,1,0,1
2024-05-03,101246.04,0.0,1,0,1
2024-05-06,101325.46,0.0,2,0,2
2024-05-07,101358.55,0.0,3,1,2
2024-05-08,101415.46,0.0,3,1,2
2024-05-09,101448.72,0.0,3,1,2
2024-05-10,101521.19,0.0,3,1,2
2024-05-13,101650.65,0.0,4,2,2
2024-05-14,101925.47,0.0,4,2,2
2024-05-15,102476.53,0.0,4,2,2
2024-05-16,102487.04,0.0,2,2,0
2024-05-17,102367.08,-0.12,2,2,0
2024-05-20,102572.36,0.0,2,2,0
2024-05-21,102659.31,0.0,2,2,0
2024-05-22,102654.74,-0.0,2,2,0
2024-05-23,103118.7,0.0,2,2,0
2024-05-24,103317.8,0.0,2,2,0
2024-05-28,103534.8,0.0,1,1,0
2024-05-29,103518.7,-0.02,1,1,0
2024-05-30,103315.7,-0.21,1,1,0
2024-05-31,103322.14,-0.21,1,1,0
2024-06-03,103299.6,-0.23,1,1,0
2024-06-04,103335.3,-0.19,1,1,0
2024-06-05,103446.46,-0.09,1,1,0
2024-06-06,103453.6,-0.08,1,1,0
2024-06-07,103506.09,-0.03,2,2,0
2024-06-10,103545.15,0.0,2,2,0
2024-06-11,103386.3,-0.15,2,1,1
2024-06-12,103483.78,-0.06,2,1,1
2024-06-13,103333.76,-0.2,3,1,2
2024-06-14,103262.34,-0.27,3,1,2
2024-06-17,103476.94,-0.07,3,1,2
2024-06-18,103352.63,-0.19,2,0,2
2024-06-20,103200.28,-0.33,2,0,2
2024-06-21,103331.56,-0.21,2,0,2
2024-06-24,103179.83,-0.35,3,1,2
2024-06-25,103459.95,-0.08,3,1,2
2024-06-26,104050.13,0.0,3,1,2
2024-06-27,104213.01,0.0,3,1,2
2024-06-28,103897.79,-0.3,4,2,2
2024-07-01,104581.77,0.0,3,2,1
2024-07-02,104738.5,0.0,3,2,1
2024-07-03,104707.72,-0.03,3,2,1
2024-07-05,105127.25,0.0,2,2,0
2024-07-08,105014.19,-0.11,2,2,0
