seed,stress_mode,universe,status,total_return_pct,max_drawdown_pct,trades,recycle_events_count,pct_trades_recycled,avg_swap_edge_r,false_recycle_rate,avg_capital_reuse_efficiency,blocked_signals_total,recycling_attempts,recycling_denied_no_positions
1,NONE,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
2,NONE,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
3,NONE,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
7,NONE,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
42,NONE,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
123,NONE,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
1,LOW_BUDGET,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
2,LOW_BUDGET,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
3,LOW_BUDGET,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
7,LOW_BUDGET,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
42,LOW_BUDGET,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
123,LOW_BUDGET,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
1,HIGH_SIGNAL_DENSITY,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
2,HIGH_SIGNAL_DENSITY,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
3,HIGH_SIGNAL_DENSITY,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
7,HIGH_SIGNAL_DENSITY,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
42,HIGH_SIGNAL_DENSITY,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
123,HIGH_SIGNAL_DENSITY,demo,OK,0,0,0,27,28.72,0.1648,0.0,0,83,83,42
1,BOTH,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
2,BOTH,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
3,BOTH,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
7,BOTH,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
42,BOTH,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
123,BOTH,demo,OK,0,0,0,30,30.61,0.1277,0.0,0,81,81,44
