bucket,score_range,min_score,max_score,trade_count,win_rate,avg_r,profit_factor,total_pnl
0,21-34,20.9,34.4,11,36.4,0.101,1.53,716.67
1,36-39,36.4,39.4,8,12.5,-0.158,0.51,-567.31
2,40-47,39.8,46.8,9,33.3,-0.07,0.94,-84.25
3,47-51,47.2,50.8,10,60.0,0.18,1.83,1090.12
4,51-52,51.2,52.2,9,44.4,0.164,3.13,1455.16
5,53-56,52.6,56.1,9,77.8,0.372,56.29,2879.53
6,56-58,56.2,57.9,10,80.0,0.216,7.1,2613.3
7,58-64,57.9,64.3,9,33.3,-0.141,0.66,-540.41
8,64-68,64.3,68.2,9,22.2,0.21,1.67,381.42
9,71-82,71.2,82.2,10,20.0,-0.174,0.19,-2068.24
