symbol,pattern_id,entry_kind,entry_date,entry_price,stop_loss,original_stop_loss,take_profit,shares,exit_date,exit_price,exit_reason,pnl_dollars,pnl_r_multiple,hold_days,bars_held,mfe_r,slippage_bps,commissions,partial_tp_done,pattern_score,score_symmetry,score_neckline,score_separation,score_breakout,score_volume,score_trend,meta_json
MU,MU_20240220_CONFIRMED,CONFIRMED,2024-02-28 00:00:00-05:00,89.86,89.86,77.02,99.5,77,2024-03-08 00:00:00-05:00,99.45,TARGET,736.28,0.74,9,7,0.88,5.0,2.0,False,45.45,0.5523,0.5614,0.4267,0.0073,0.5834,0.5,"{""avg_bottom"": 79.3, ""height"": 10.1, ""separation_days"": 32, ""pattern_score"": 45.45, ""score_features"": {""symmetry"": 0.5523, ""neckline"": 0.5614, ""separation"": 0.4267, ""breakout_strength"": 0.0073, ""volume"": 0.5834, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1274}"
QCOM,QCOM_20240202_FORMING,FORMING,2024-02-28 00:00:00-05:00,150.47,126.84,126.84,171.56,21,2024-05-02 00:00:00-04:00,171.47,TARGET,439.11,0.88,63,45,1.04,5.0,2.0,False,36.11,0.2111,0.7693,0.2667,0.5,0.0,0.5,"{""avg_bottom"": 131.5, ""height"": 20.03, ""separation_days"": 20, ""pattern_score"": 36.11, ""score_features"": {""symmetry"": 0.2111, ""neckline"": 0.7693, ""separation"": 0.2667, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1523}"
PYPL,PYPL_20240305_FORMING,FORMING,2024-03-21 00:00:00-04:00,65.18,56.59,56.59,71.25,70,2024-04-19 00:00:00-04:00,61.83,NO_PROGRESS,-236.91,-0.39,29,20,0.33,5.0,2.0,False,57.74,0.5622,0.4299,0.36,0.5,1.0,0.5,"{""avg_bottom"": 58.25, ""height"": 6.5, ""separation_days"": 27, ""pattern_score"": 57.74, ""score_features"": {""symmetry"": 0.5622, ""neckline"": 0.4299, ""separation"": 0.36, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1116}"
GOOGL,GOOGL_20240305_FORMING,FORMING,2024-04-02 00:00:00-04:00,152.43,127.1,127.1,173.34,23,2024-04-26 00:00:00-04:00,173.25,TARGET,477.05,0.82,24,18,0.83,5.0,2.0,False,39.81,0.1567,0.809,0.5333,0.5,0.0,0.5,"{""avg_bottom"": 131.91, ""height"": 20.71, ""separation_days"": 40, ""pattern_score"": 39.81, ""score_features"": {""symmetry"": 0.1567, ""neckline"": 0.809, ""separation"": 0.5333, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1571}"
TXN,TXN_20240419_CONFIRMED,CONFIRMED,2024-04-30 00:00:00-04:00,169.43,169.43,147.93,186.44,47,2024-05-15 00:00:00-04:00,186.35,TARGET,792.96,0.78,15,11,0.82,5.0,2.0,False,52.44,0.9884,0.4786,0.8667,0.3399,0.0,0.5,"{""avg_bottom"": 150.98, ""height"": 17.73, ""separation_days"": 65, ""pattern_score"": 52.44, ""score_features"": {""symmetry"": 0.9884, ""neckline"": 0.4786, ""separation"": 0.8667, ""breakout_strength"": 0.3399, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1174}"
AAPL,AAPL_20240419_CONFIRMED,CONFIRMED,2024-05-06 00:00:00-04:00,180.96,159.5,159.5,189.51,47,2024-05-16 00:00:00-04:00,189.42,TARGET,395.16,0.39,10,8,0.41,5.0,2.0,False,44.51,0.3361,0.1204,0.4,0.292,1.0,0.5,"{""avg_bottom"": 164.94, ""height"": 12.28, ""separation_days"": 30, ""pattern_score"": 44.51, ""score_features"": {""symmetry"": 0.3361, ""neckline"": 0.1204, ""separation"": 0.4, ""breakout_strength"": 0.292, ""volume"": 1, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0745}"
MSFT,MSFT_20240425_FORMING,FORMING,2024-05-13 00:00:00-04:00,412.84,375.38,375.38,463.35,16,2024-06-11 00:00:00-04:00,420.55,NO_PROGRESS,121.44,0.2,29,20,0.43,5.0,2.0,False,48.34,0.4622,0.3193,0.7867,0.5,0.4203,0.5,"{""avg_bottom"": 387.21, ""height"": 38.07, ""separation_days"": 59, ""pattern_score"": 48.34, ""score_features"": {""symmetry"": 0.4622, ""neckline"": 0.3193, ""separation"": 0.7867, ""breakout_strength"": 0.5, ""volume"": 0.4203, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.0983}"
AMAT,AMAT_20240501_CONFIRMED,CONFIRMED,2024-05-16 00:00:00-04:00,214.85,214.85,185.83,231.49,35,2024-06-12 00:00:00-04:00,231.37,TARGET,576.21,0.57,27,18,0.7,5.0,2.0,False,50.17,0.5117,0.3704,0.5867,0.7827,0.3495,0.5,"{""avg_bottom"": 191.49, ""height"": 20.0, ""separation_days"": 44, ""pattern_score"": 50.17, ""score_features"": {""symmetry"": 0.5117, ""neckline"": 0.3704, ""separation"": 0.5867, ""breakout_strength"": 0.7827, ""volume"": 0.3495, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1044}"
AVGO,AVGO_20240502_CONFIRMED,CONFIRMED,2024-05-16 00:00:00-04:00,140.11,140.11,115.39,156.82,41,2024-06-13 00:00:00-04:00,167.84,TARGET,1134.17,1.12,28,19,1.23,5.0,2.0,True,62.07,0.4976,0.827,0.4133,1.0,0.4688,0.5,"{""avg_bottom"": 118.94, ""height"": 18.94, ""separation_days"": 31, ""pattern_score"": 62.07, ""score_features"": {""symmetry"": 0.4976, ""neckline"": 0.827, ""separation"": 0.4133, ""breakout_strength"": 1.0, ""volume"": 0.4688, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1592}"
PYPL,PYPL_20240510_FORMING,FORMING,2024-06-07 00:00:00-04:00,66.38,59.29,59.29,79.38,86,2024-06-18 00:00:00-04:00,59.26,STOP,-614.27,-1.01,11,7,0.13,5.0,2.0,False,57.21,0.0952,0.7009,0.92,0.5,0.7495,0.5,"{""avg_bottom"": 61.62, ""height"": 8.88, ""separation_days"": 69, ""pattern_score"": 57.21, ""score_features"": {""symmetry"": 0.0952, ""neckline"": 0.7009, ""separation"": 0.92, ""breakout_strength"": 0.5, ""volume"": 0.7495, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1441}"
MSFT,MSFT_20240531_CONFIRMED,CONFIRMED,2024-06-13 00:00:00-04:00,436.18,436.18,383.54,461.88,19,2024-07-05 00:00:00-04:00,461.65,TARGET,481.92,0.48,22,14,0.51,5.0,2.0,False,42.07,0.4535,0.1969,0.88,0.4395,0.2137,0.5,"{""avg_bottom"": 395.7, ""height"": 33.09, ""separation_days"": 84, ""pattern_score"": 42.07, ""score_features"": {""symmetry"": 0.4535, ""neckline"": 0.1969, ""separation"": 0.88, ""breakout_strength"": 0.4395, ""volume"": 0.2137, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0836}"
TSLA,TSLA_20240611_CONFIRMED,CONFIRMED,2024-06-18 00:00:00-04:00,186.65,186.65,164.06,206.18,46,2024-07-01 00:00:00-04:00,206.08,TARGET,960.98,0.92,13,8,1.18,5.0,2.0,True,62.47,0.9493,0.4597,0.28,1.0,0.5045,0.5,"{""avg_bottom"": 167.58, ""height"": 19.3, ""separation_days"": 21, ""pattern_score"": 62.47, ""score_features"": {""symmetry"": 0.9493, ""neckline"": 0.4597, ""separation"": 0.28, ""breakout_strength"": 1.0, ""volume"": 0.5045, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1152}"
AMZN,AMZN_20240531_FORMING,FORMING,2024-06-24 00:00:00-04:00,189.42,168.04,168.04,210.73,29,2024-08-02 00:00:00-04:00,166.67,STOP,-661.98,-1.07,39,28,0.55,5.0,2.0,False,45.32,0.6525,0.4184,0.76,0.5,0.0,0.5,"{""avg_bottom"": 172.67, ""height"": 19.03, ""separation_days"": 57, ""pattern_score"": 45.32, ""score_features"": {""symmetry"": 0.6525, ""neckline"": 0.4184, ""separation"": 0.76, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1102}"
META,META_20240531_FORMING,FORMING,2024-06-28 00:00:00-04:00,514.88,442.75,442.75,604.87,8,2024-07-25 00:00:00-04:00,442.53,STOP,-580.77,-1.01,27,18,0.35,5.0,2.0,False,75.26,0.9923,0.9108,1.0,0.5,0.4851,0.5,"{""avg_bottom"": 451.86, ""height"": 76.5, ""separation_days"": 75, ""pattern_score"": 75.26, ""score_features"": {""symmetry"": 0.9923, ""neckline"": 0.9108, ""separation"": 1, ""breakout_strength"": 0.5, ""volume"": 0.4851, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1693}"
AMD,AMD_20240701_CONFIRMED,CONFIRMED,2024-07-09 00:00:00-04:00,178.06,150.57,150.57,193.15,38,2024-07-24 00:00:00-04:00,150.49,STOP,-1049.44,-1.0,15,11,0.34,5.0,2.0,False,40.23,0.2578,0.4933,0.3333,0.7223,0.2185,0.5,"{""avg_bottom"": 155.96, ""height"": 18.6, ""separation_days"": 25, ""pattern_score"": 40.23, ""score_features"": {""symmetry"": 0.2578, ""neckline"": 0.4933, ""separation"": 0.3333, ""breakout_strength"": 0.7223, ""volume"": 0.2185, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1192}"
CSCO,CSCO_20240617_FORMING,FORMING,2024-07-18 00:00:00-04:00,46.61,42.26,42.26,52.23,143,2024-08-15 00:00:00-04:00,47.14,NO_PROGRESS,74.31,0.12,28,20,0.13,5.0,2.0,False,27.8,0.1004,0.2895,0.4133,0.5,0.0652,0.5,"{""avg_bottom"": 43.91, ""height"": 4.16, ""separation_days"": 31, ""pattern_score"": 27.8, ""score_features"": {""symmetry"": 0.1004, ""neckline"": 0.2895, ""separation"": 0.4133, ""breakout_strength"": 0.5, ""volume"": 0.0652, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.0947}"
PYPL,PYPL_20240701_FORMING,FORMING,2024-07-31 00:00:00-04:00,64.88,55.21,55.21,84.38,64,2024-10-24 00:00:00-04:00,81.01,TIME,1029.97,1.66,85,60,1.77,5.0,2.0,False,74.75,0.7527,1.0,0.48,0.5,1.0,0.5,"{""avg_bottom"": 56.62, ""height"": 13.88, ""separation_days"": 114, ""pattern_score"": 74.75, ""score_features"": {""symmetry"": 0.7527, ""neckline"": 1, ""separation"": 0.48, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2451}"
META,META_20240725_FORMING,FORMING,2024-08-14 00:00:00-04:00,525.74,431.67,431.67,634.1,6,2024-09-12 00:00:00-04:00,514.26,NO_PROGRESS,-70.86,-0.13,29,20,0.17,5.0,2.0,False,54.87,0.3585,1.0,0.5067,0.5,0.3799,0.5,"{""avg_bottom"": 446.21, ""height"": 93.94, ""separation_days"": 112, ""pattern_score"": 54.87, ""score_features"": {""symmetry"": 0.3585, ""neckline"": 1, ""separation"": 0.5067, ""breakout_strength"": 0.5, ""volume"": 0.3799, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2105}"
NVDA,NVDA_20240725_FORMING,FORMING,2024-08-16 00:00:00-04:00,121.95,104.12,104.12,174.83,34,2024-09-04 00:00:00-04:00,104.07,STOP,-609.95,-1.01,19,12,0.52,5.0,2.0,False,68.56,0.8499,1.0,0.4933,0.5,0.583,0.5,"{""avg_bottom"": 106.57, ""height"": 34.13, ""separation_days"": 37, ""pattern_score"": 68.56, ""score_features"": {""symmetry"": 0.8499, ""neckline"": 1, ""separation"": 0.4933, ""breakout_strength"": 0.5, ""volume"": 0.583, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.3203}"
CSCO,CSCO_20240812_CONFIRMED,CONFIRMED,2024-08-20 00:00:00-04:00,48.38,48.38,42.19,52.26,167,2024-10-09 00:00:00-04:00,52.23,TARGET,641.9,0.62,50,35,0.64,5.0,2.0,False,32.5,0.0598,0.2957,0.92,0.4392,0.0,0.5,"{""avg_bottom"": 43.88, ""height"": 4.19, ""separation_days"": 69, ""pattern_score"": 32.5, ""score_features"": {""symmetry"": 0.0598, ""neckline"": 0.2957, ""separation"": 0.92, ""breakout_strength"": 0.4392, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0955}"
INTU,INTU_20240823_FORMING,FORMING,2024-09-12 00:00:00-04:00,638.75,593.27,593.27,730.45,13,2024-10-10 00:00:00-04:00,613.64,NO_PROGRESS,-328.52,-0.56,28,20,0.37,5.0,2.0,False,39.54,0.6376,0.3245,0.52,0.5,0.0,0.5,"{""avg_bottom"": 609.8, ""height"": 60.33, ""separation_days"": 111, ""pattern_score"": 39.54, ""score_features"": {""symmetry"": 0.6376, ""neckline"": 0.3245, ""separation"": 0.52, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.0989}"
TSLA,TSLA_20240906_CONFIRMED,CONFIRMED,2024-09-20 00:00:00-04:00,241.64,241.64,206.3,257.39,29,2024-09-26 00:00:00-04:00,260.47,TARGET,544.04,0.53,6,4,0.57,5.0,2.0,False,51.4,0.5061,0.3776,0.4133,1.0,0.3762,0.5,"{""avg_bottom"": 212.61, ""height"": 22.39, ""separation_days"": 31, ""pattern_score"": 51.4, ""score_features"": {""symmetry"": 0.5061, ""neckline"": 0.3776, ""separation"": 0.4133, ""breakout_strength"": 1.0, ""volume"": 0.3762, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1053}"
META,META_20240911_CONFIRMED,CONFIRMED,2024-09-20 00:00:00-04:00,558.07,474.58,474.58,594.41,12,2024-10-04 00:00:00-04:00,594.11,TARGET,430.53,0.43,14,10,0.44,5.0,2.0,False,51.42,0.5447,0.4012,0.6533,0.5515,0.4716,0.5,"{""avg_bottom"": 488.72, ""height"": 52.84, ""separation_days"": 101, ""pattern_score"": 51.42, ""score_features"": {""symmetry"": 0.5447, ""neckline"": 0.4012, ""separation"": 0.6533, ""breakout_strength"": 0.5515, ""volume"": 0.4716, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1081}"
AMZN,AMZN_20240906_FORMING,FORMING,2024-09-24 00:00:00-04:00,194.37,167.74,167.74,229.88,23,2024-10-22 00:00:00-04:00,188.26,NO_PROGRESS,-142.56,-0.23,28,20,0.01,5.0,2.0,False,68.96,0.6073,0.8859,0.8933,0.5,0.6601,0.5,"{""avg_bottom"": 172.51, ""height"": 28.68, ""separation_days"": 67, ""pattern_score"": 68.96, ""score_features"": {""symmetry"": 0.6073, ""neckline"": 0.8859, ""separation"": 0.8933, ""breakout_strength"": 0.5, ""volume"": 0.6601, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1663}"
INTC,INTC_20240910_CONFIRMED,CONFIRMED,2024-09-24 00:00:00-04:00,22.54,22.54,18.14,25.57,235,2024-11-07 00:00:00-05:00,25.56,TARGET,706.75,0.68,44,32,0.87,5.0,2.0,False,61.51,0.5582,1.0,0.2933,0.1932,0.9024,0.5,"{""avg_bottom"": 18.68, ""height"": 3.45, ""separation_days"": 22, ""pattern_score"": 61.51, ""score_features"": {""symmetry"": 0.5582, ""neckline"": 1, ""separation"": 0.2933, ""breakout_strength"": 0.1932, ""volume"": 0.9024, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1842}"
NVDA,NVDA_20241002_CONFIRMED,CONFIRMED,2024-10-09 00:00:00-04:00,134.13,134.13,112.8,146.6,49,2024-11-07 00:00:00-05:00,146.53,TARGET,605.38,0.58,29,21,0.69,5.0,2.0,False,51.76,0.6956,0.6074,0.7067,0.673,0.0,0.5,"{""avg_bottom"": 115.81, ""height"": 15.4, ""separation_days"": 53, ""pattern_score"": 51.76, ""score_features"": {""symmetry"": 0.6956, ""neckline"": 0.6074, ""separation"": 0.7067, ""breakout_strength"": 0.673, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1329}"
AAPL,AAPL_20241007_CONFIRMED,CONFIRMED,2024-10-16 00:00:00-04:00,230.42,230.42,211.19,245.78,54,2024-12-09 00:00:00-05:00,245.66,TARGET,820.86,0.79,54,37,0.82,5.0,2.0,False,27.64,0.4731,0.0357,0.2667,0.0342,0.1477,1.0,"{""avg_bottom"": 217.79, ""height"": 13.99, ""separation_days"": 20, ""pattern_score"": 27.64, ""score_features"": {""symmetry"": 0.4731, ""neckline"": 0.0357, ""separation"": 0.2667, ""breakout_strength"": 0.0342, ""volume"": 0.1477, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0643}"
NFLX,NFLX_20241017_CONFIRMED,CONFIRMED,2024-10-21 00:00:00-04:00,76.61,64.76,64.76,80.27,88,2024-11-11 00:00:00-05:00,80.23,TARGET,316.17,0.3,21,15,0.34,5.0,2.0,False,64.04,0.3613,0.3305,0.3467,1.0,1.0,1.0,"{""avg_bottom"": 66.93, ""height"": 6.67, ""separation_days"": 26, ""pattern_score"": 64.04, ""score_features"": {""symmetry"": 0.3613, ""neckline"": 0.3305, ""separation"": 0.3467, ""breakout_strength"": 1.0, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0997}"
TSLA,TSLA_20241003_FORMING,FORMING,2024-10-25 00:00:00-04:00,256.14,228.43,228.43,294.27,22,2024-11-07 00:00:00-05:00,294.12,TARGET,833.67,1.37,13,9,1.57,5.0,2.0,False,69.31,0.4988,0.5409,0.7733,0.5,0.9706,1.0,"{""avg_bottom"": 235.45, ""height"": 29.41, ""separation_days"": 58, ""pattern_score"": 69.31, ""score_features"": {""symmetry"": 0.4988, ""neckline"": 0.5409, ""separation"": 0.7733, ""breakout_strength"": 0.5, ""volume"": 0.9706, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1249}"
MSFT,MSFT_20241008_FORMING,FORMING,2024-10-30 00:00:00-04:00,433.59,392.02,392.02,524.12,15,2024-11-27 00:00:00-05:00,421.79,NO_PROGRESS,-179.0,-0.29,28,20,0.0,5.0,2.0,False,79.55,0.7296,0.7631,0.8133,0.5,1.0,1.0,"{""avg_bottom"": 402.2, ""height"": 60.96, ""separation_days"": 89, ""pattern_score"": 79.55, ""score_features"": {""symmetry"": 0.7296, ""neckline"": 0.7631, ""separation"": 0.8133, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1516}"
