window_id,train_start,train_end,test_start,test_end,train_score,train_trade_count,train_total_return_pct,test_score,test_total_return_pct,test_max_dd_pct,test_sharpe,test_trade_count,test_exposure_days,test_expectancy_r,test_win_rate,test_profit_factor,test_forming_expectancy_r,test_confirmed_expectancy_r,test_regime_mode,test_downtrend_days,test_highvol_days,test_regime_hard_skipped,test_forming_reduced_downtrend,test_forming_reduced_highvol,test_confirmed_reduced_highvol,test_avg_risk_forming,test_avg_risk_confirmed,best_params_json,best_params,test_quality
1,2021-11-08,2022-11-07,2022-11-08,2023-02-08,-4.47,8,-2.98,1.1375,1.25,-0.15,3.53,3,17,0.75,100.0,inf,1.54,0.36,SOFT_GATE,57,4,0,1,0,0,0.0034,0.01,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 20, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.004, ""max_positions_forming"": 4, ""forming_no_progress_days"": 25, ""forming_no_progress_r"": 0.75, ""forming_max_hold_days"": 75, ""confirmed_partial_tp_enabled"": false, ""confirmed_partial_tp_at_r"": 1.0, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.25, ""confirmed_trailing_enabled"": true, ""confirmed_trailing_start_r"": 1.0, ""confirmed_trailing_atr_mult"": 2.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 50, ""regime_trend_slow_ma"": 150, ""regime_vol_lookback"": 20, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 0.85, ""regime_highvol_forming_mult"": 0.85, ""regime_highvol_confirmed_mult"": 0.9}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 20, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.004, 'max_positions_forming': 4, 'forming_no_progress_days': 25, 'forming_no_progress_r': 0.75, 'forming_max_hold_days': 75, 'confirmed_partial_tp_enabled': False, 'confirmed_partial_tp_at_r': 1.0, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.25, 'confirmed_trailing_enabled': True, 'confirmed_trailing_start_r': 1.0, 'confirmed_trailing_atr_mult': 2.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 50, 'regime_trend_slow_ma': 150, 'regime_vol_lookback': 20, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 0.85, 'regime_highvol_forming_mult': 0.85, 'regime_highvol_confirmed_mult': 0.9}",True
2,2022-02-08,2023-02-08,2023-02-09,2023-05-10,1.395,6,1.91,-inf,,,,0,0,,,,,,SOFT_GATE,0,0,0,0,0,0,0.0,0.0,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.1, ""min_sep"": 30, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.006, ""max_positions_forming"": 4, ""forming_no_progress_days"": 25, ""forming_no_progress_r"": 0.75, ""forming_max_hold_days"": 75, ""confirmed_partial_tp_enabled"": true, ""confirmed_partial_tp_at_r"": 0.5, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.25, ""confirmed_trailing_enabled"": false, ""confirmed_trailing_start_r"": 0.75, ""confirmed_trailing_atr_mult"": 2.0, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 50, ""regime_trend_slow_ma"": 150, ""regime_vol_lookback"": 20, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 1.0, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 0.9}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.1, 'min_sep': 30, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.006, 'max_positions_forming': 4, 'forming_no_progress_days': 25, 'forming_no_progress_r': 0.75, 'forming_max_hold_days': 75, 'confirmed_partial_tp_enabled': True, 'confirmed_partial_tp_at_r': 0.5, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.25, 'confirmed_trailing_enabled': False, 'confirmed_trailing_start_r': 0.75, 'confirmed_trailing_atr_mult': 2.0, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 50, 'regime_trend_slow_ma': 150, 'regime_vol_lookback': 20, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 1.0, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 0.9}",False
3,2022-05-10,2023-05-10,2023-05-11,2023-08-10,3.515,9,3.91,-1.4675,-0.95,-0.96,-2.41,2,17,-0.5,0.0,0.0,,-0.5,SOFT_GATE,20,0,0,0,0,0,0.0,0.01,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 20, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.004, ""max_positions_forming"": 4, ""forming_no_progress_days"": 25, ""forming_no_progress_r"": 0.75, ""forming_max_hold_days"": 75, ""confirmed_partial_tp_enabled"": false, ""confirmed_partial_tp_at_r"": 1.0, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.25, ""confirmed_trailing_enabled"": true, ""confirmed_trailing_start_r"": 1.0, ""confirmed_trailing_atr_mult"": 2.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 1.0, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 0.9}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 20, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.004, 'max_positions_forming': 4, 'forming_no_progress_days': 25, 'forming_no_progress_r': 0.75, 'forming_max_hold_days': 75, 'confirmed_partial_tp_enabled': False, 'confirmed_partial_tp_at_r': 1.0, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.25, 'confirmed_trailing_enabled': True, 'confirmed_trailing_start_r': 1.0, 'confirmed_trailing_atr_mult': 2.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 1.0, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 0.9}",True
4,2022-08-10,2023-08-10,2023-08-11,2023-11-08,5.03,8,5.28,-inf,,,,0,0,,,,,,SOFT_GATE,0,0,0,0,0,0,0.0,0.0,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.1, ""min_sep"": 30, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.006, ""max_positions_forming"": 4, ""forming_no_progress_days"": 25, ""forming_no_progress_r"": 0.75, ""forming_max_hold_days"": 75, ""confirmed_partial_tp_enabled"": true, ""confirmed_partial_tp_at_r"": 0.5, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.25, ""confirmed_trailing_enabled"": false, ""confirmed_trailing_start_r"": 0.75, ""confirmed_trailing_atr_mult"": 2.0, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 50, ""regime_trend_slow_ma"": 150, ""regime_vol_lookback"": 20, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 1.0, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 0.9}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.1, 'min_sep': 30, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.006, 'max_positions_forming': 4, 'forming_no_progress_days': 25, 'forming_no_progress_r': 0.75, 'forming_max_hold_days': 75, 'confirmed_partial_tp_enabled': True, 'confirmed_partial_tp_at_r': 0.5, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.25, 'confirmed_trailing_enabled': False, 'confirmed_trailing_start_r': 0.75, 'confirmed_trailing_atr_mult': 2.0, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 50, 'regime_trend_slow_ma': 150, 'regime_vol_lookback': 20, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 1.0, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 0.9}",False
5,2022-11-08,2023-11-08,2023-11-09,2024-02-09,0.1349999999999999,11,0.82,-inf,,,,0,0,,,,,,SOFT_GATE,0,0,0,0,0,0,0.0,0.0,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.1, ""min_sep"": 30, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.004, ""max_positions_forming"": 4, ""forming_no_progress_days"": 20, ""forming_no_progress_r"": 0.25, ""forming_max_hold_days"": 45, ""confirmed_partial_tp_enabled"": false, ""confirmed_partial_tp_at_r"": 0.5, ""confirmed_partial_tp_fraction"": 0.33, ""confirmed_move_stop_to_be_at_r"": 0.5, ""confirmed_trailing_enabled"": true, ""confirmed_trailing_start_r"": 1.0, ""confirmed_trailing_atr_mult"": 2.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 1.0, ""regime_highvol_forming_mult"": 0.7, ""regime_highvol_confirmed_mult"": 1.0}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.1, 'min_sep': 30, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.004, 'max_positions_forming': 4, 'forming_no_progress_days': 20, 'forming_no_progress_r': 0.25, 'forming_max_hold_days': 45, 'confirmed_partial_tp_enabled': False, 'confirmed_partial_tp_at_r': 0.5, 'confirmed_partial_tp_fraction': 0.33, 'confirmed_move_stop_to_be_at_r': 0.5, 'confirmed_trailing_enabled': True, 'confirmed_trailing_start_r': 1.0, 'confirmed_trailing_atr_mult': 2.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 1.0, 'regime_highvol_forming_mult': 0.7, 'regime_highvol_confirmed_mult': 1.0}",False
6,2023-02-09,2024-02-09,2024-02-12,2024-05-10,1.81,9,2.69,-inf,,,,0,0,,,,,,SOFT_GATE,0,0,0,0,0,0,0.0,0.0,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 30, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.006, ""max_positions_forming"": 3, ""forming_no_progress_days"": 20, ""forming_no_progress_r"": 0.25, ""forming_max_hold_days"": 45, ""confirmed_partial_tp_enabled"": true, ""confirmed_partial_tp_at_r"": 0.75, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.75, ""confirmed_trailing_enabled"": false, ""confirmed_trailing_start_r"": 0.5, ""confirmed_trailing_atr_mult"": 1.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.025, ""regime_downtrend_forming_mult"": 0.85, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 1.0}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 30, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.006, 'max_positions_forming': 3, 'forming_no_progress_days': 20, 'forming_no_progress_r': 0.25, 'forming_max_hold_days': 45, 'confirmed_partial_tp_enabled': True, 'confirmed_partial_tp_at_r': 0.75, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.75, 'confirmed_trailing_enabled': False, 'confirmed_trailing_start_r': 0.5, 'confirmed_trailing_atr_mult': 1.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.025, 'regime_downtrend_forming_mult': 0.85, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 1.0}",False
7,2023-05-11,2024-05-10,2024-05-13,2024-08-12,1.2200000000000002,8,2.1,-inf,0.06,-0.01,1.6,1,2,0.13,100.0,inf,0.13,,SOFT_GATE,23,5,0,1,1,0,0.0051,0.0,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 30, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.006, ""max_positions_forming"": 3, ""forming_no_progress_days"": 20, ""forming_no_progress_r"": 0.25, ""forming_max_hold_days"": 45, ""confirmed_partial_tp_enabled"": true, ""confirmed_partial_tp_at_r"": 0.75, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.75, ""confirmed_trailing_enabled"": false, ""confirmed_trailing_start_r"": 0.5, ""confirmed_trailing_atr_mult"": 1.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.025, ""regime_downtrend_forming_mult"": 0.85, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 1.0}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 30, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.006, 'max_positions_forming': 3, 'forming_no_progress_days': 20, 'forming_no_progress_r': 0.25, 'forming_max_hold_days': 45, 'confirmed_partial_tp_enabled': True, 'confirmed_partial_tp_at_r': 0.75, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.75, 'confirmed_trailing_enabled': False, 'confirmed_trailing_start_r': 0.5, 'confirmed_trailing_atr_mult': 1.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.025, 'regime_downtrend_forming_mult': 0.85, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 1.0}",False
8,2023-08-11,2024-08-12,2024-08-13,2024-11-08,0.5050000000000001,10,1.1,0.33249999999999996,0.59,-0.39,1.91,4,15,0.1,75.0,5.68,-0.35,0.24,SOFT_GATE,30,0,0,0,0,0,0.004,0.01,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 20, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.004, ""max_positions_forming"": 4, ""forming_no_progress_days"": 25, ""forming_no_progress_r"": 0.75, ""forming_max_hold_days"": 75, ""confirmed_partial_tp_enabled"": false, ""confirmed_partial_tp_at_r"": 1.0, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.25, ""confirmed_trailing_enabled"": true, ""confirmed_trailing_start_r"": 1.0, ""confirmed_trailing_atr_mult"": 2.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 1.0, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 0.9}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 20, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.004, 'max_positions_forming': 4, 'forming_no_progress_days': 25, 'forming_no_progress_r': 0.75, 'forming_max_hold_days': 75, 'confirmed_partial_tp_enabled': False, 'confirmed_partial_tp_at_r': 1.0, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.25, 'confirmed_trailing_enabled': True, 'confirmed_trailing_start_r': 1.0, 'confirmed_trailing_atr_mult': 2.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 1.0, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 0.9}",True
9,2023-11-09,2024-11-08,2024-11-11,2025-02-12,1.6500000000000001,11,1.83,-0.1325,0.11,-0.36,0.5,2,15,-0.22,50.0,1.35,-0.84,0.41,SOFT_GATE,23,0,0,0,0,0,0.004,0.01,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 20, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.004, ""max_positions_forming"": 4, ""forming_no_progress_days"": 25, ""forming_no_progress_r"": 0.75, ""forming_max_hold_days"": 75, ""confirmed_partial_tp_enabled"": false, ""confirmed_partial_tp_at_r"": 1.0, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.25, ""confirmed_trailing_enabled"": true, ""confirmed_trailing_start_r"": 1.0, ""confirmed_trailing_atr_mult"": 2.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.03, ""regime_downtrend_forming_mult"": 1.0, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 0.9}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 20, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.004, 'max_positions_forming': 4, 'forming_no_progress_days': 25, 'forming_no_progress_r': 0.75, 'forming_max_hold_days': 75, 'confirmed_partial_tp_enabled': False, 'confirmed_partial_tp_at_r': 1.0, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.25, 'confirmed_trailing_enabled': True, 'confirmed_trailing_start_r': 1.0, 'confirmed_trailing_atr_mult': 2.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.03, 'regime_downtrend_forming_mult': 1.0, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 0.9}",True
10,2024-02-12,2025-02-12,2025-02-13,2025-05-14,2.41,11,3.08,0.20750000000000005,0.45,-0.06,2.5,2,3,0.22,100.0,inf,,0.22,SOFT_GATE,62,29,0,0,0,0,0.0,0.01,"{""low_tolerance"": 0.04, ""neckline_min_rise"": 0.08, ""min_sep"": 30, ""stop_loss_buffer"": 0.02, ""breakout_buffer"": 0.002, ""risk_fraction_forming"": 0.006, ""max_positions_forming"": 3, ""forming_no_progress_days"": 20, ""forming_no_progress_r"": 0.25, ""forming_max_hold_days"": 45, ""confirmed_partial_tp_enabled"": true, ""confirmed_partial_tp_at_r"": 0.75, ""confirmed_partial_tp_fraction"": 0.5, ""confirmed_move_stop_to_be_at_r"": 0.75, ""confirmed_trailing_enabled"": false, ""confirmed_trailing_start_r"": 0.5, ""confirmed_trailing_atr_mult"": 1.5, ""max_sep"": 260, ""forming_no_progress_action"": ""EXIT"", ""regime_mode"": ""SOFT_GATE"", ""regime_trend_fast_ma"": 20, ""regime_trend_slow_ma"": 200, ""regime_vol_lookback"": 14, ""regime_vol_high_threshold"": 0.025, ""regime_downtrend_forming_mult"": 0.85, ""regime_highvol_forming_mult"": 1.0, ""regime_highvol_confirmed_mult"": 1.0}","{'low_tolerance': 0.04, 'neckline_min_rise': 0.08, 'min_sep': 30, 'stop_loss_buffer': 0.02, 'breakout_buffer': 0.002, 'risk_fraction_forming': 0.006, 'max_positions_forming': 3, 'forming_no_progress_days': 20, 'forming_no_progress_r': 0.25, 'forming_max_hold_days': 45, 'confirmed_partial_tp_enabled': True, 'confirmed_partial_tp_at_r': 0.75, 'confirmed_partial_tp_fraction': 0.5, 'confirmed_move_stop_to_be_at_r': 0.75, 'confirmed_trailing_enabled': False, 'confirmed_trailing_start_r': 0.5, 'confirmed_trailing_atr_mult': 1.5, 'max_sep': 260, 'forming_no_progress_action': 'EXIT', 'regime_mode': 'SOFT_GATE', 'regime_trend_fast_ma': 20, 'regime_trend_slow_ma': 200, 'regime_vol_lookback': 14, 'regime_vol_high_threshold': 0.025, 'regime_downtrend_forming_mult': 0.85, 'regime_highvol_forming_mult': 1.0, 'regime_highvol_confirmed_mult': 1.0}",True
